Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7001","Janvier","6121","Valeur","%","4.730651","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7002","Février","6121","Valeur","%","4.553673","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7003","Mars","6121","Valeur","%","10.028383","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7004","Avril","6121","Valeur","%","9.36788","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7005","Mai","6121","Valeur","%","10.723921","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7006","Juin","6121","Valeur","%","10.87936","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7007","Juillet","6121","Valeur","%","7.353894","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7008","Août","6121","Valeur","%","5.862761","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7009","Septembre","6121","Valeur","%","5.37764","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7010","Octobre","6121","Valeur","%","5.435571","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7011","Novembre","6121","Valeur","%","4.66338","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23014","Food price inflation","7012","Décembre","6121","Valeur","%","4.513232","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7001","Janvier","6121","Valeur","%","3.17498","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7002","Février","6121","Valeur","%","3.090923","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7003","Mars","6121","Valeur","%","2.385266","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7004","Avril","6121","Valeur","%","-3.296048","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7005","Mai","6121","Valeur","%","-5.849302","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7006","Juin","6121","Valeur","%","-11.157824","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7007","Juillet","6121","Valeur","%","-12.644822","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7008","Août","6121","Valeur","%","-11.175702","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23014","Food price inflation","7009","Septembre","6121","Valeur","%","-10.729905","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","108.52005","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","108.701492","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","114.689456","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","114.595556","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","115.40368","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","116.211191","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","113.711408","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","112.432266","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","112.298027","X","Ciffre de sources internationales","base year is 2015"
