Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","528","Pays-Bas (Royaume des)","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.614","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.059","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.204","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.964","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.666","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.011","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.647","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.682","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.031","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","032","Argentine","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.669","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","051","Arménie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.973","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","533","Aruba","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.718","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","036","Australie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.458","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","040","Autriche","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.612","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","031","Azerbaïdjan","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.729","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","044","Bahamas","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.848","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","048","Bahreïn","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.006","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","050","Bangladesh","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.143","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","112","Bélarus","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.826","E","Valeur estimée"
