,Zone,Année,Population,sous_nutrition,Année médiane,ratio_sous_nutrition_mondiale,Pourcentage_Sous_Nutrition,Proportion_sous_nutrition_par pays
78,Haïti,2017-01-01,10982366.000000002,5300000.0,2017-01-01,7.1,48.26,48.26
157,République populaire démocratique de Corée,2017-01-01,25429825.0,12000000.0,2017-01-01,7.1,47.19,47.19
108,Madagascar,2017-01-01,25570512.0,10500000.0,2017-01-01,7.1,41.06,41.06
103,Libéria,2017-01-01,4702226.0,1800000.0,2017-01-01,7.1,38.28,38.28
100,Lesotho,2017-01-01,2091534.0,800000.0,2017-01-01,7.1,38.25,38.25
183,Tchad,2017-01-01,15016753.0,5700000.0,2017-01-01,7.1,37.96,37.96
161,Rwanda,2017-01-01,11980961.0,4200000.0,2017-01-01,7.1,35.06,35.06
121,Mozambique,2017-01-01,28649018.0,9400000.0,2017-01-01,7.1,32.81,32.81
186,Timor-Leste,2017-01-01,1243258.0,400000.0,2017-01-01,7.1,32.17,32.17
0,Afghanistan,2017-01-01,36296113.0,10500000.0,2017-01-01,7.1,28.93,28.93
44,Congo,2017-01-01,5110695.0,1400000.0,2017-01-01,7.1,27.39,27.39
198,Venezuela (République bolivarienne du),2017-01-01,29402484.0,8000000.0,2017-01-01,7.1,27.21,27.21
171,Sierra Leone,2017-01-01,7488423.000000002,2000000.0,2017-01-01,7.1,26.71,26.71
158,République-Unie de Tanzanie,2017-01-01,54660339.00000001,13400000.0,2017-01-01,7.1,24.52,24.52
87,Iraq,2017-01-01,37552781.0,9000000.0,2017-01-01,7.1,23.97,23.97
96,Kenya,2017-01-01,50221142.0,11900000.0,2017-01-01,7.1,23.7,23.7
26,Botswana,2017-01-01,2205080.0,500000.0,2017-01-01,7.1,22.67,22.67
187,Togo,2017-01-01,7698474.0,1600000.0,2017-01-01,7.1,20.78,20.78
46,Côte d'Ivoire,2017-01-01,24437470.0,4900000.0,2017-01-01,7.1,20.05,20.05
61,Éthiopie,2017-01-01,106399924.0,21100000.0,2017-01-01,7.1,19.83,19.83
6,Angola,2017-01-01,29816766.0,5800000.0,2017-01-01,7.1,19.45,19.45
119,Mongolie,2017-01-01,3113786.0,600000.0,2017-01-01,7.1,19.27,19.27
30,Burkina Faso,2017-01-01,19193234.0,3600000.0,2017-01-01,7.1,18.76,18.76
110,Malawi,2017-01-01,17670196.0,3300000.0,2017-01-01,7.1,18.68,18.68
59,Eswatini,2017-01-01,1124805.0,200000.0,2017-01-01,7.1,17.78,17.78
126,Nicaragua,2017-01-01,6384846.0,1100000.0,2017-01-01,7.1,17.23,17.23
73,Guatemala,2017-01-01,16914970.0,2700000.0,2017-01-01,7.1,15.96,15.96
24,Bolivie (État plurinational de),2017-01-01,11192855.0,1700000.0,2017-01-01,7.1,15.19,15.19
33,Cambodge,2017-01-01,16009409.0,2400000.0,2017-01-01,7.1,14.99,14.99
144,Philippines,2017-01-01,105172925.0,15700000.0,2017-01-01,7.1,14.93,14.93
66,Gabon,2017-01-01,2064822.9999999998,300000.0,2017-01-01,7.1,14.53,14.53
84,Inde,2017-01-01,1338676785.0,190100000.0,2017-01-01,7.1,14.2,14.2
79,Honduras,2017-01-01,9429013.0,1300000.0,2017-01-01,7.1,13.79,13.79
122,Myanmar,2017-01-01,53382523.0,7300000.0,2017-01-01,7.1,13.67,13.67
67,Gambie,2017-01-01,2213889.0,300000.0,2017-01-01,7.1,13.55,13.55
16,Bangladesh,2017-01-01,159685424.0,21500000.0,2017-01-01,7.1,13.46,13.46
123,Namibie,2017-01-01,2402633.0,300000.0,2017-01-01,7.1,12.49,12.49
176,Soudan,2017-01-01,40813397.0,5000000.0,2017-01-01,7.1,12.25,12.25
128,Nigéria,2017-01-01,190873244.0,22800000.0,2017-01-01,7.1,11.95,11.95
136,Pakistan,2017-01-01,207906209.0,24800000.0,2017-01-01,7.1,11.93,11.93
116,Mauritanie,2017-01-01,4282570.0,500000.0,2017-01-01,7.1,11.68,11.68
92,Jamaïque,2017-01-01,2920848.0,300000.0,2017-01-01,7.1,10.27,10.27
168,Sénégal,2017-01-01,15419355.0,1500000.0,2017-01-01,7.1,9.73,9.73
53,El Salvador,2017-01-01,6388126.0,600000.0,2017-01-01,7.1,9.39,9.39
185,Thaïlande,2017-01-01,69209810.0,6200000.0,2017-01-01,7.1,8.96,8.96
55,Équateur,2017-01-01,16785361.0,1500000.0,2017-01-01,7.1,8.94,8.94
85,Indonésie,2017-01-01,264650963.0,23600000.0,2017-01-01,7.1,8.92,8.92
141,Paraguay,2017-01-01,6867061.0,600000.0,2017-01-01,7.1,8.74,8.74
133,Oman,2017-01-01,4665928.0,400000.0,2017-01-01,7.1,8.57,8.57
94,Jordanie,2017-01-01,9785843.0,800000.0,2017-01-01,7.1,8.18,8.18
178,Sri Lanka,2017-01-01,21128032.000000007,1600000.0,2017-01-01,7.1,7.57,7.57
68,Géorgie,2017-01-01,4008716.0,300000.0,2017-01-01,7.1,7.48,7.48
139,Panama,2017-01-01,4106769.0,300000.0,2017-01-01,7.1,7.31,7.31
21,Bénin,2017-01-01,11175198.0,800000.0,2017-01-01,7.1,7.16,7.16
143,Pérou,2017-01-01,31444298.0,2200000.0,2017-01-01,7.1,7.0,7.0
69,Ghana,2017-01-01,29121465.0,2000000.0,2017-01-01,7.1,6.87,6.87
199,Viet Nam,2017-01-01,94600648.0,6500000.0,2017-01-01,7.1,6.87,6.87
117,Mexique,2017-01-01,124777324.0,8400000.0,2017-01-01,7.1,6.73,6.73
34,Cameroun,2017-01-01,24566073.0,1600000.0,2017-01-01,7.1,6.51,6.51
97,Kirghizistan,2017-01-01,6189733.0,400000.0,2017-01-01,7.1,6.46,6.46
125,Népal,2017-01-01,27632681.0,1700000.0,2017-01-01,7.1,6.15,6.15
102,Liban,2017-01-01,6819373.000000002,400000.0,2017-01-01,7.1,5.87,5.87
156,République dominicaine,2017-01-01,10513104.0,600000.0,2017-01-01,7.1,5.71,5.71
42,Colombie,2017-01-01,48909839.00000001,2700000.0,2017-01-01,7.1,5.52,5.52
173,Slovaquie,2017-01-01,5447900.0,300000.0,2017-01-01,7.1,5.51,5.51
1,Afrique du Sud,2017-01-01,57009756.0,3100000.0,2017-01-01,7.1,5.44,5.44
112,Mali,2017-01-01,18512430.0,1000000.0,2017-01-01,7.1,5.4,5.4
