Zone,Exportations en kg,population_2017,indice_stabilite_politique_2017,Valeur US $ par habitant,TAS,TDI,Consommation_moyenne_poulet_en_kg
Afrique du Sud,63000000.0,57009756.0,-0.28,6723.928582,78.7063267233239,23.56717102246676,37.15153595816127
Albanie,0.0,2884169.0,0.38,4521.752217,25.49019607843137,74.50980392156863,17.682736344506857
Algérie,0.0,41389189.0,-0.92,4134.936055,99.27797833935018,0.7220216606498195,6.692568921802261
Allemagne,646000000.0,82658409.0,0.59,44670.222282,88.53801169590643,35.73853989813243,20.687550373731487
Antigua-et-Barbuda,0.0,95426.0,0.75,16110.556281,0.0,100.0,73.35527005218704
Arabie saoudite,10000000.0,33101179.0,-0.64,20138.146333,46.3855421686747,53.96113602391629,40.119416894485845
Argentine,207000000.0,43937140.0,0.17,14609.78337,110.1427115188583,0.3688335638543107,44.65470442545873
Arménie,0.0,2944791.0,-0.62,4041.995072,23.91304347826087,76.08695652173914,15.620802970397559
Australie,42000000.0,24584620.0,0.9,57430.803788,102.09171359613838,1.245136186770428,50.56006560199019
Autriche,78000000.0,8819901.0,1.05,47429.535841,82.22222222222221,42.63565891472868,20.408392339097684
Azerbaïdjan,0.0,9845320.0,-0.75,4057.624007,79.38931297709924,20.610687022900763,13.305814336151593
Bangladesh,820.0,159685424.0,-1.26,1785.962903,100.0003293183536,0.0,1.5593106356407334
Barbade,0.0,286232.0,0.97,17843.196496,88.23529411764706,11.76470588235294,59.39238100561782
Belize,0.0,375769.0,0.04,6101.585949,100.0,0.0,53.22418826459873
Bolivie (État plurinational de),1000000.0,11192855.0,-0.28,3280.01179,100.0,0.18726591760299627,47.61966450918912
Bosnie-Herzégovine,8000000.0,3351525.0,-0.35,5255.95028,96.82539682539682,14.084507042253522,18.797413117909013
Bulgarie,45000000.0,7102444.0,0.33,8242.455771,62.94117647058823,50.23255813953489,23.935422792492275
Bélarus,152000000.0,9450231.0,-0.05,5637.218565,139.4578313253012,4.338842975206612,35.13141636431956
Bénin,0.0,11175198.0,0.03,1095.274459,12.76595744680851,87.2340425531915,12.61722611089307
Cameroun,0.0,24566073.0,-1.1,1479.862223,100.0,0.0,3.2972302899205745
Canada,163000000.0,36732095.0,1.1,45125.109808,98.67688022284122,11.38211382113821,39.09387689430728
Chili,115000000.0,18470439.0,0.42,15081.989132,94.68085106382979,17.87773933102653,40.713704747353326
Chypre,1000000.0,1179678.0,0.54,18987.256286,65.78947368421053,35.8974358974359,32.21217993384636
Colombie,2000000.0,48909839.0,-0.77,6450.319585,95.36585365853658,4.750304506699147,33.531085636981956
Costa Rica,3000000.0,4949954.0,0.61,12118.133618,90.47619047619048,11.333333333333332,29.697245671373917
Croatie,17000000.0,4182857.0,0.69,13434.533984,89.70588235294117,28.235294117647058,16.25683115631254
Danemark,139000000.0,5732274.0,0.87,57888.203513,103.59281437125749,43.4640522875817,29.133289860184632
Dominique,0.0,71458.0,1.2,7395.991648,0.0,100.0,55.976937501749276
El Salvador,2000000.0,6388126.0,-0.26,3986.049014,90.66666666666666,10.526315789473683,23.481064712875106
Espagne,212000000.0,46647428.0,0.28,28190.806667,100.46419098143235,11.918604651162791,32.327613003657994
